Product ID,Tên sản phẩm,Price,Old Price,Quantity Sale,Discount,Thời gian sử dụng pin (tháng),Đối tượng sử dụng:,Đường kính mặt (mm),Độ dày mặt (mm),Nguồn năng lượng:,Mức kháng nước (ATM),Chất liệu mặt kính:,Thương hiệu của:,Hãng:,Review Count,Rating,Bình luận
286441,CASIO MTS100L1AVDF,2146000.0,2862000.0,56.0,0.25,120.0,Nam,41.3,8.8,Pin,5.0,Kính Sapphire,Nhật Bản,CASIO,31,4.6,Đồng hồ khá tệ. Bị vô nước mặc dù chỉ rửa tay.Rồi chết máy. Mới mua hơn nửa năm. Gửi hãng bh xem hãng báo bị lỗi gì. K ổn thì vứt luôn. Bye luôn
231881,ELIO EL06102,290000.0,990000.0,53.0,,36.0,Nữ,29.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,12,4.6,Đồng hồ rất tuyệt vời
199375,CASIO LTP1302D1A1VDF,1107000.0,1476000.0,37.0,0.25,36.0,Nữ,30.0,9.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CASIO,7,4.0,"Đồng hồ đẹp lắm cơ mà đặt hàng về đeo rộng lắm luôn, giờ em muốn cắt dây thì ra cửa hàng hay sao nhỉ"
309783,CITIZEN Sunshine and Luna NH913017A,6738000.0,8985000.0,121.0,0.25,0.0,Nam,40.0,10.7,Cơ tự động,5.0,Kính Sapphire,Nhật Bản,CITIZEN,1,5.0,"Sản phẩm đẹp, nhân viên nhiệt tình, chu đáo"
249232,ELIO Xmas ES093,690000.0,1290000.0,4.0,0.46,24.0,Nữ,21.0,8.4,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,7,4.9,Rất thích
213181,ADRIATICA A3798.5175Q,1290000.0,2580000.0,126.0,0.5,36.0,Nữ,33.0,7.0,Pin,3.0,Kính khoáng Mineral,Thuỵ Sĩ,ADRIATICA,18,4.5,Đẹp
286658,ELIO EL11802,311000.0,0.0,8.0,,24.0,Nữ,27.0,8.7,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,6,3.5,C mua về chưa dc ngày nó đứng hình luôn. Báo cho nhân viên liền để ra trả mà họ nói trả là mất phí 20. Hơn cả lừa đảo. Tối nay c ra đổi lại.
286651,ELIO EL11501,690000.0,1290000.0,63.0,0.46,24.0,Nữ,32.0,8.1,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,4,4.5,rất đẹp . chị mình rất thích . kiểu dáng sang trọng .
286435,CASIO MTPV004D7B2UDF,777000.0,1036000.0,460.0,0.25,36.0,Nam,41.5,8.3,Pin,1.0,Kính khoáng Mineral,Nhật Bản,CASIO,25,4.4,Ok nv nhiệt tình vui vẻ
286442,CASIO W219H2AVDF,670000.0,894000.0,101.0,0.25,84.0,Nam,47.0,13.9,Pin,5.0,Nhựa,Nhật Bản,CASIO,14,4.5,Mẫu mã đẹp .
286420,CASIO LTPV004L1BUDF,660000.0,880000.0,13.0,0.25,36.0,Nữ,30.2,7.8,Pin,1.0,Kính khoáng Mineral,Nhật Bản,CASIO,9,4.8,Rất tốt đẹp!
286416,CASIO LTPV002G7BUDF,1058000.0,1411000.0,31.0,0.25,36.0,Nữ,25.0,9.2,Pin,1.0,Kính khoáng Mineral,Nhật Bản,CASIO,4,4.5,Tốt quá
283475,MVW Sport ML07102,990000.0,1950000.0,40.0,0.49,24.0,Nam,41.0,10.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,18,4.3,"Chả hiểu sao, mới mua chưa tới tháng mà sao cái đồng hồ lạ ghê. Lúc chạy, lúc ngưng như kiểu đồng hỗ đã tới tuổi thọ ấy."
278559,MVW ML06701,590000.0,1290000.0,15.0,0.46,36.0,Nam,40.0,8.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,15,3.8,"Sản phẩm rất đẹp, rất vừa ý, nhân viên chăm sóc hổ trợ khách hàng rất tốt..."
283474,MVW Sport ML07101,990000.0,1950000.0,43.0,0.49,24.0,Nam,41.0,10.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,9,4.6,Tốt đẹp
278460,ELIO Flower ES12402,690000.0,1290000.0,9.0,0.46,24.0,Nữ,33.0,10.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,11,4.8,Đẹp vừa tay rất ưng ạ
278436,ELIO ES11802,290000.0,990000.0,38.0,,24.0,Nữ,34.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,9,4.7,Đong ho ck nc nc là ok
278422,ELIO ES11701,690000.0,1290000.0,84.0,0.46,24.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,10,4.2,Sao đồng hồ mới mua mây ngay mak lại hết bin
278421,ELIO ES11602,690000.0,1090000.0,43.0,0.36,24.0,Nữ,31.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,9,4.7,Đồng hồ rất đẹp lun
275068,NAKZEN SS4069LBE7N2,900000.0,1890000.0,16.0,0.52,24.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,NAKZEN,1,4.0,"Sản phẩm đẹp nhưng làm mất thời giờ của khách hàng, phải đi 2 lần mới nhận được hàng"
271676,SMILE KID SL08201,190000.0,250000.0,490.0,0.24,12.0,Trẻ em,38.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,SMILE KID,21,4.5,Rất tốt
270187,SMILE KID SL09701,290000.0,320000.0,282.0,0.09,24.0,Trẻ em,31.0,8.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,SMILE KID,8,4.8,"Đồng hồ rất tốt đẹp nữa nè, con gái rất thích"
269359,ELIO EC01102,690000.0,1290000.0,132.0,0.46,24.0,Nữ,30.0,8.3,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,18,4.4,Thay cái pin mà cũng đợi đem ra 714 ngày. Làm ăn chán thật
269337,ELIO EC00201,690000.0,1290000.0,42.0,0.46,24.0,Nam,42.0,9.2,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,8,4.1,Chưa sử dụng mua về mặt đồng hồ trầy rồi
252373,SMILE KID SL219L05,190000.0,290000.0,48.0,0.34,12.0,Trẻ em,39.0,12.5,Pin,5.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,SMILE KID,12,4.5,hài lòng với sản phẩm
252369,SMILE KID SL07001,190000.0,290000.0,984.0,0.34,18.0,Trẻ em,33.5,9.0,Pin,3.0,Nhựa Resin,Việt Nam,SMILE KID,19,4.6,Dùng tốt . Nhìn đeo vào tay rất sang. Bé rất thích
246096,MVW MS07002,611000.0,0.0,16.0,,24.0,Nam,40.0,7.0,Pin,5.0,Kính Sapphire,Việt Nam,MVW,11,3.9,Đồng hồ tắm vào nước .cho hướng xử lý
245141,Q&Q S401J211Y,490000.0,870000.0,21.0,0.43,36.0,Nữ,31.0,8.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Q&Q,9,4.9,"Nên mua nhé mọi người. Đi tắm ko bị vô nước, dây đeo tùy chỉnh vừa tay mà đeo ko bị đau tay. Sài ok lắm."
247092,MVW ML05901,590000.0,1290000.0,42.0,,24.0,Nam,40.0,10.0,Pin,5.0,Kính Sapphire,Việt Nam,MVW,17,4.3,"Mới nhận hàng,nhưng mình có yêu cầu nhân viên chỉnh thời gian trên đồng hồ nhưng lại không chỉnh,thấy trễ mình sẽ thông cảmNhưng khi mình chỉnh thì đồng hồ không chạy mai phải ra cửa hàng nữa"
238386,MVW MS05801,790000.0,1490000.0,37.0,0.46,36.0,Nam,43.0,10.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,6,4.3,Mẫu này đẹp mỏng và nhẹ. Đeo vào cảm giác thoải mái. Kim và các cọc chỉ số to rõ dễ nhìn. Về chất lượng thì phải sử dụng thời gian dài mới biết được. Nói chung với giá này xài khoảng 2 năm là đủ tiền
238385,MVW MS05701,790000.0,1490000.0,24.0,0.46,36.0,Nam,43.0,11.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,8,4.9,"Đồng hồ đẹp, chắc tay, nặng hơn so với mấy hãng khác."
237825,ORIENT RFQD0009S10B,2862000.0,4770000.0,7.0,0.4,24.0,Nam,39.0,7.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,ORIENT,6,4.8,Tuyệt vời
232749,SMILE KID SL05901,290000.0,350000.0,390.0,0.17,18.0,Trẻ em,40.0,16.0,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,20,4.4,Rất tốt
232354,ORIENT Sun & Moon RAAS0101S10B,10170000.0,13560000.0,144.0,0.25,0.0,Nam,41.5,,Cơ tự động,3.0,Kính khoáng Mineral,Nhật Bản,ORIENT,13,3.9,"Sản phẩm đẹp nhưng mặt kính rất dễ bị chầy , Chỉ cần qua quẹt với vật cứng là chầy ngay"
231895,ELIO EL07302,690000.0,1190000.0,19.0,0.42,36.0,Nữ,33.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,7,4.4,Ok tốt
231866,ELIO Nắng Xuân EL04201,690000.0,1090000.0,18.0,0.36,36.0,Nữ,28.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,11,4.8,Đồng hồ hãng này mh dùng thấy rất ok chỉ có điều như cái trước mh hay quên để dính nước nhiều nên dây da chóng hỏng phải thay dây chứ đồng hồ vẫn chạy tốt
231857,ELIO Nắng Xuân EL03301,690000.0,1290000.0,125.0,0.46,36.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,16,4.4,Đồng hồ nhìn dễ thương.Chất liệu da Ok
231824,ELIO Nàng Thơ ES03101,290000.0,990000.0,82.0,0.3,36.0,Nữ,28.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,8,4.9,Hàng tốt chất lượng cũng ok
230024,CASIO LTPE157MRB1BDF,2076000.0,3460000.0,6.0,0.4,36.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,CASIO,7,4.0,"Mới mua hôm 263 đến hôm nay đã rơi cả số ra rồi, mình đặt online bảo hành ở đâu được shop"
228835,Q&Q S397J212Y,511000.0,0.0,15.0,,36.0,Nữ,31.0,9.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Q&Q,14,4.4,Đồng hồ rất đẹp giá tốt
228276,SMILE KID SL02801,190000.0,290000.0,3000.0,0.34,18.0,Trẻ em,30.0,10.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,SMILE KID,8,4.5,Okfokkđokojokoo
228673,NAKZEN SL4043GREBN6N0,790000.0,1078000.0,60.0,0.26,24.0,Nam,40.0,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,NAKZEN,13,4.8,Sản phẩm rất ok ạ
228273,SMILE KID SL02501,190000.0,290000.0,2900.0,0.34,18.0,Trẻ em,30.0,10.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,SMILE KID,9,4.6,Rất hài lòng
227057,SMILE KID SL02401,290000.0,350000.0,2.0,0.17,18.0,Trẻ em,37.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,31,4.7,Bé nhà mình rất thích
220739,ELIO ES022C1,690000.0,1200000.0,68.0,0.42,12.0,Nam,40.5,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,12,3.9,"Mới sài có 1 tháng k chạy pin nữa, dễ trầy"
210279,ELIO EL01201,490000.0,890000.0,132.0,,12.0,Nữ,33.0,9.6,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,12,4.6,Rất tốt
209256,NAKZEN SL4043LBK1,790000.0,1078000.0,64.0,0.26,24.0,Nữ,28.0,8.0,Pin,3.0,Kính Sapphire,Nhật Bản,NAKZEN,12,4.1,"giá TGDĐ ảo thế nhỉ, đợt mua 890k vài tháng nhìn lại còn 480k, mất một nữa số tiền, chán TGDD thiệt chứ"
209011,CASIO MTP1335D2AVDF,1230000.0,1641000.0,42.0,0.25,24.0,Nam,38.0,10.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CASIO,13,4.8,Đẹp hơn trong hình rất nhiều nhỏ gọn xuất sắc
209007,CASIO MTP1314L7AVDF,1017000.0,1356000.0,32.0,0.25,24.0,Nam,45.0,9.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CASIO,24,4.6,Đồng hồ đẹp vửa tuối tiền rất thích
208998,CASIO MTP1303D1AVDF,1017000.0,1356000.0,28.0,0.25,24.0,Nam,40.0,8.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CASIO,21,4.4,Rất tốt nhân viên nhiệt tình
208695,CASIO MTPV006GL7BUDF,777000.0,1036000.0,51.0,0.25,24.0,Nam,38.0,9.4,Pin,3.0,Kính khoáng Mineral,Nhật Bản,CASIO,16,4.3,Hài lòng về sp. Và hài lòng về bạn nhân viên giao hàng. Mặc trời mưa vẫn đi giao hàng. 10đ phục vụ cho bạn
208366,CASIO MQ277EDF,272000.0,454000.0,40.0,0.4,24.0,Nam,26.0,8.0,Pin,3.0,Nhựa Resin,Nhật Bản,CASIO,17,4.4,"Lúc mua đã hết pin từ đời nào ko biết, nv thay cho cục pin vừa lởm vừa mỏngĐeo được 3 ngày nước vào ngập luônĐem đến nơi bán nv bảo gửi đi hãng bảo hành chờ 15 ngàyChả đáng bao tiền mà thấy như bị lừa vậy."
204589,CASIO W215H2AVDF,621000.0,829000.0,39.0,0.25,84.0,Nam,41.0,11.2,Pin,5.0,Nhựa,Nhật Bản,CASIO,10,3.9,Rất tốt
202636,ORIENT FGW01001W0,5010000.0,6680000.0,10.0,0.25,36.0,Nam,38.0,7.0,Pin,5.0,Kính Sapphire,Nhật Bản,ORIENT,14,4.6,Khóa hơi lỗi
202637,ORIENT FGW01003W0,5010000.0,6680000.0,6.0,0.25,36.0,Nam,37.9,6.9,Pin,5.0,Kính Sapphire,Nhật Bản,ORIENT,13,3.9,Đẹp. Thanh lịch.
201738,CITIZEN BI500087E,2688000.0,3585000.0,21.0,0.25,24.0,Nam,39.0,8.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CITIZEN,9,4.2,"Mình nhận hàng thấy còn mới, có seal nhựa dán ở mặt lưng  mặt dây khoá.
Không có phiếu bảo hành hay hướng dẫn sử dụng trong hộp, có lẽ là hàng trưng bày.
Đồng hồ có tag kèm theo, có tem giấy chống giả dán ở mặt lưng."
201687,CITIZEN BI500010A,2613000.0,3485000.0,43.0,0.25,24.0,Nam,39.0,8.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CITIZEN,11,4.5,Đồng hồ nhìn sang hợp với tay
200849,CITIZEN AU108313A,2111000.0,2815000.0,6.0,0.25,0.0,Nam,40.0,7.0,Ánh sáng,3.0,Kính Sapphire,Nhật Bản,CITIZEN,7,3.6,Mới mua kim đã bị ố kiểu sắp han nói gì dùng chọn đời đồng hồ siêu kém chất lượng
199537,EDIFICE CASIO EFR526L7AVUDF,2569000.0,3426000.0,47.0,0.25,24.0,Nam,43.0,11.6,Pin,10.0,Kính khoáng Mineral,Nhật Bản,EDIFICE CASIO,16,4.1,"Chất lượng thấp, mặt kính siêu tệ. Rơi nhẹ độ cao dưới 0.5m mặt kính đã vỡ. Không bảo hành, phải dịch vụ thay kính."
199467,CASIO LRW200H4BVDF,411000.0,548000.0,47.0,0.25,36.0,Nữ,32.6,11.6,Pin,10.0,Nhựa,Nhật Bản,CASIO,11,4.8,Mẫu mã đẹp ko vô nước nhân viên tư vấn nhiệt tình rất thích
199437,CASIO LTPV007D7EUDF,591000.0,985000.0,52.0,0.4,36.0,Nữ,22.2,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,CASIO,14,4.4,Mặt nhỏ lắm ạHộp đồng hồ rất cũ bạc màu hẳn là lưu kho rất lâu rồi
199466,CASIO LRW200H4B2VDF,411000.0,548000.0,61.0,0.25,36.0,Nữ,34.0,11.5,Pin,10.0,Nhựa,Nhật Bản,CASIO,8,4.8,Xih xỉu
199426,CASIO LTPV005D2BUDF,666000.0,889000.0,53.0,0.25,36.0,Nữ,28.2,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,CASIO,15,4.9,"Mẫu mã đẹp, thanh lịch dành cho nữ. Chất lượng tốt, đi mưa vẫn không lo nước vào."
199421,CASIO LTPV004D1BUDF,699000.0,932000.0,13.0,0.25,36.0,Nữ,29.8,9.3,Pin,3.0,Kính khoáng Mineral,Nhật Bản,CASIO,7,4.3,sản phẩm tốt
197726,SKMEI SK1478,290000.0,350000.0,88.0,0.17,12.0,Trẻ em,28.0,13.0,Pin,5.0,Nhựa Resin,Trung Quốc,SKMEI,7,3.6,Ok.
331105,MVW Galaxy MSA10002,2290000.0,4490000.0,5.0,0.48,0.0,Nam,42.2,12.5,Cơ tự động,5.0,Kính Sapphire,Việt Nam,MVW,0,0.0,N/A
331095,ELIO Sunshine EL15402,690000.0,1290000.0,0.0,0.46,24.0,Nữ,33.0,7.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,0,0.0,N/A
328908,SMILE KID SL41408SK,290000.0,390000.0,977.0,0.25,18.0,Trẻ em,38.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,0,0.0,N/A
329914,ELIO Sunshine ES17401,890000.0,1390000.0,29.0,0.35,24.0,Nữ,32.0,9.4,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,0,0.0,N/A
328204,CASIO MTPE510D1A1VDF,2595000.0,3460000.0,17.0,0.25,36.0,Nam,42.0,10.5,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CASIO,0,0.0,N/A
327026,SMILE KID SL14801,290000.0,350000.0,419.0,0.17,12.0,Trẻ em,30.0,10.1,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,0,0.0,N/A
327018,SMILE KID SL15002,190000.0,290000.0,438.0,0.34,12.0,Trẻ em,34.0,8.0,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,0,0.0,N/A
325871,Q&Q G18A001VY,490000.0,790000.0,37.0,0.37,24.0,Nam,52.5,16.2,Pin,10.0,Kính Acrylic (thủy tinh hữu cơ),Nhật Bản,Q&Q,0,0.0,N/A
322248,EDIFICE CASIO EFRS108D2BVUDF,3502000.0,4670000.0,12.0,0.25,36.0,Nam,39.9,7.8,Pin,10.0,Kính Sapphire,Nhật Bản,EDIFICE CASIO,0,0.0,N/A
322151,Q&Q C23A008VY,690000.0,990000.0,23.0,0.3,24.0,Nam,42.0,10.65,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Q&Q,1,5.0,N/A
321031,MVW Sport ML08801,990000.0,1990000.0,31.0,0.5,24.0,Nam,44.0,12.6,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,0,0.0,N/A
320540,ELIO Set quà ES16101,890000.0,1390000.0,28.0,0.35,24.0,Nữ,24.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,3,4.7,Đẹp
320537,ELIO Set quà ES15902,890000.0,1390000.0,428.0,0.35,24.0,Nữ,24.0,9.3,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,0,0.0,N/A
316948,CASIO LA670WA1DF,852000.0,1136000.0,106.0,0.25,24.0,Nữ,24.6,7.3,Pin,3.0,Nhựa,Nhật Bản,CASIO,3,5.0,Tốt
313246,Q&Q G15A003VY,490000.0,690000.0,21.0,0.28,24.0,Nữ,40.5,14.5,Pin,10.0,Kính Acrylic (thủy tinh hữu cơ),Nhật Bản,Q&Q,0,0.0,N/A
313244,Q&Q S08A007PY,890000.0,1690000.0,16.0,0.47,24.0,Nam,43.0,10.5,Pin,5.0,Kính Sapphire,Nhật Bản,Q&Q,0,0.0,N/A
313224,Q&Q A11A001PY,690000.0,1190000.0,51.0,0.42,24.0,Nam,42.0,10.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Q&Q,0,0.0,N/A
307456,CASIO LWA300H7E2VDF,1116000.0,1489000.0,26.0,0.25,36.0,Nữ,42.1,11.4,Pin,10.0,Nhựa,Nhật Bản,CASIO,3,4.7,Dây nhựa bóng nhé mọi người Mua phối đồ kiểu cá tính hay văn phòng cũng đều đẹp. Mình rất ưng
306791,MVW Star Automatic MSA00501N,2290000.0,4490000.0,73.0,0.48,0.0,Nam,43.0,12.0,Cơ tự động,5.0,Kính Sapphire,Việt Nam,MVW,27,4.5,"Đồng hồ rất đẹp , sang trọng , giá cả hợp lý,nhân viên phúc vs ng hỗ trợ nhân viên phúc,tại thới giới di động trên đường nguyễn huệ tp cao lãnh , tư vấn nhiệt tình, vui vẻ , có cảm giác thoải mái trong việc trao đổi về sản phẩm đồng hồ MVW riêng về 2 nhân viên này tôi chấm 5 sao"
306718,MVW Star Automatic MSA00301N,2290000.0,4490000.0,93.0,0.48,0.0,Nam,41.5,12.0,Cơ tự động,5.0,Kính Sapphire,Việt Nam,MVW,25,4.5,Sài kỹ vẫn không bền
296727,SMILE KID SL12801,190000.0,250000.0,1000.0,0.24,12.0,Trẻ em,38.0,14.0,Pin,3.0,Nhựa,Việt Nam,SMILE KID,5,4.2,N/A
293749,EYKI EYS00701,490000.0,890000.0,63.0,0.44,24.0,Nữ,28.5,7.9,Pin,3.0,Kính khoáng Mineral,Trung Quốc,EYKI,0,0.0,N/A
293748,EYKI EYS00603,690000.0,1090000.0,48.0,0.36,24.0,Nữ,32.5,7.8,Pin,3.0,Kính khoáng Mineral,Trung Quốc,EYKI,0,0.0,N/A
