Tên sản phẩm,Mã sản phẩm,Mã giảm giá,Mức giảm tối thiểu,Mức giảm tối đa,Phương thức thanh toán nhận khuyến mãi,Price,Old Price,Thời gian sử dụng pin (tháng),Đối tượng sử dụng:,Đường kính mặt (mm),Độ dày mặt (mm),Nguồn năng lượng:,Mức kháng nước (ATM),Chất liệu mặt kính:,Thương hiệu của:,Bình luận
ORIENT Bambino,RAAP0104S30B,VNPAYTGDD4,50000,100000,VNPAY-QR,5490000,8840000,N/A,Nam,38.4,12.0,Cơ tự động,3.0,Kính cứng,Nhật Bản,N/A
MVW Star Automatic,MLA09302,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3990000,N/A,Nam,41.0,11.65,Cơ tự động,5.0,Kính Sapphire,Việt Nam,N/A
CASIO,MTPV005D7B5UDF,VNPAYTGDD4,50000,100000,VNPAY-QR,666000,889000,36.0,Nam,40.0,8.1,Pin,3.0,Kính khoáng Mineral,Nhật Bản,N/A
ELIO Flower,EL10501,VNPAYTGDD4,50000,100000,VNPAY-QR,320000,990000,24.0,Nữ,35.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sản phẩm rất tốt
CASIO,LTPV300L7A2UDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1138000,1752000,24.0,Nữ,33.2,8.2,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Mặt đồng hồ rất đẹp, dây da màu cà phê sữa ko nổi trren nền da ngâm như mình"
SMILE KID,SL414012SK,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,18.0,Trẻ em,38.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,N/A
ELIO Elegant Lady,EL14501,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,24.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,N/A
Q&Q,S00A005VY,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,24.0,Nam,42.0,11.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,N/A
ELIO Xmas,ES03501,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,26.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ đẹp, chạy tốt"
MVW Galaxy,MSCA00401,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3490000,N/A,Nam,44.0,15.4,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Mới mua nhìn đẹp sang nhưng khung nhựa sợ trầy
CASIO,MTPV300L1AUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1314000,1752000,24.0,Nam,41.5,8.6,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Hàng hiệu chính hãng, có team chống giả , đẹp"
ELIO Nàng Thơ,ES03401,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,36.0,Nữ,28.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Mua về chạy đc vài bữa thì kim ko chạy nx. Quăng cho nhanh
CASIO,LTPV007L7E1UDF,VNPAYTGDD4,50000,100000,VNPAY-QR,538000,829000,24.0,Nữ,22.0,N/A,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Nhỏ xinh
ELIO,ES03301,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,36.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Kiểu dáng đẹp nhưng sao mặt trong chốt cài bị đen mình không may lấy nhằm cái này chốt cài bị lỏng dễ bung
CASIO,MTP1375L7AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1702000,2270000,24.0,Nam,42.0,N/A,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Mẫu mã đẹp nhìn chất lượng rất tốt trong tầm giá
CASIO,W218H4BVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,636000,848000,84.0,Nam,43.0,11.0,Pin,5.0,Nhựa,Nhật Bản,"Tôi mua cho bé 9 tuổi, nhìn rất ok, lại có chống nước, do CASIO sản xuất thì quá yên tâm."
ELIO,ES027C2,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,12.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Tôi thấy mẫu mã đẹp . Sang trọng , dùng ok mọi người nên dùng rất tiện ."
MVW Hồn Việt,ML08601HV,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,2490000,36.0,Nam,43.0,12.0,Pin,5.0,Kính Sapphire,Việt Nam,Đẹp
MVW,MS06001,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,40.0,9.0,Pin,5.0,Kính Sapphire,Việt Nam,"Đồng hồ đúng giao đúng mẫu, đúng màu ,đẹp ,từ bữa nhận hàng đeo đến nay thấy ok ,còn ko biết đeo lâu dài như thế nào ...cho shop 5 sao"
ELIO Nàng Thơ,ES05801,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đồng hồ kiểu dáng đẹp chất lượng mà giá quá hời. Nên mua nhé mn
ELIO Nắng Xuân,EL03801,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,890000,36.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Ban đâu nv là ôn rồi
SMILE KID,SL09401,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,24.0,Trẻ em,31.0,8.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Rất đẹp
ELIO,ES025C2,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,12.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sản phẩm sử dụng tốt đẹp
SMILE KID,SL01701,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,24.0,Trẻ em,42.5,16.0,Pin,5.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Rất đẹp toi sẽ mua lại nhiều lần
SMILE KID,SL41407SK,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,18.0,Trẻ em,38.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,N/A
CASIO,LTP1302D7A2VDF,VNPAYTGDD4,50000,100000,VNPAY-QR,959000,1476000,36.0,Nữ,30.0,9.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,"Rất tốt, khi nào hết PIN anh sang thay"
ELIO Xmas,ES10002,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1090000,24.0,Nữ,26.0,8.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ đẹp, giá cả phải chăng"
MVW,MS06501,VNPAYTGDD4,50000,100000,VNPAY-QR,790000,1990000,24.0,Nam,40.0,10.0,Pin,5.0,Kính Sapphire,Việt Nam,Dùng tốt.
MVW Galaxy,MLA08402S1,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3990000,N/A,Nam,41.0,12.7,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Dùng dc 2 tháng 2 lần chạy sớm 2 lần chạy trễ chả hiểu
ELIO,EL01201,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,890000,12.0,Nữ,33.0,9.6,Pin,3.0,Kính khoáng Mineral,Việt Nam,Rất tốt
CASIO,LTPV004L7AUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,521000,803000,36.0,Nữ,30.0,7.8,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Sp ok
ELIO,ES01301,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1190000,12.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Thực tế đẹp hơn trên hình, đáng mua"
MVW Glory,ML07902,VNPAYTGDD4,50000,100000,VNPAY-QR,590000,1290000,36.0,Nam,43.0,9.2,Pin,5.0,Kính khoáng Mineral,Việt Nam,"Đẹp, anh nhân viên rất nhiệt tình và chu đáo
Chúc anh luôn vui vẻ"
SMILE KID,SL13304,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,350000,18.0,Trẻ em,41.5,15.2,Pin,3.0,Nhựa,Việt Nam,Sản phẩm tốt
ELIO,EL09003,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1290000,24.0,Nữ,20.5,7.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Mua tiktok của TGDD giá 245k quá rẻ và đẹp, luôn ủng hộ TGDD"
MVW Sport,ML06601,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,36.0,Nam,42.0,11.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,Bên mình có hỗ trợ thu cũ đổi mới ko ạ
MVW Glory,ML08001,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2250000,36.0,Nam,43.0,9.2,Pin,5.0,Kính khoáng Mineral,Việt Nam,Mình cần mua dây đồng hồ này có bán ko
CASIO,AE1000W1BVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,852000,1136000,120.0,Nam,43.5,13.5,Pin,10.0,Nhựa Resin,Nhật Bản,máy ok. cái dây nó có khớp đeo thật là đau tay
ELIO,EL09001,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,24.0,Nữ,21.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Mua tại the gioi di động shop mất 640,500 mà mua online có gần 300k . Là sao ai giải thích dùm với"
ELIO,EL08602,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,24.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Dây màu nâu OK, mua thêm cái dây màu hồng da dễ bị xuống màu quá"
CASIO,LTP1274D7BDF,VNPAYTGDD4,50000,100000,VNPAY-QR,747000,1150000,36.0,Nữ,26.0,7.5,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Đồng hồ đẹp ở ngoài đẹp hơn trong hình. hy vọng bền với thời gian
CASIO,LTPV300L4AUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1138000,1752000,24.0,Nữ,34.0,8.2,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Đẹp, vừa tay, mới sài nên độ bền còn chờ thời gian mới đánh giá được"
SMILE KID,SL06402,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,349000,24.0,Trẻ em,47.0,17.0,Pin,5.0,Nhựa,Việt Nam,"Nhân viên tận tình, hàng đẹp"
ELIO Nắng Xuân,EL05002,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,36.0,Nữ,33.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,mẫu đẹp. mua đuợc giá rẻ sale. ưng ý lắm
SMILE KID,SL06301,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,150000,18.0,Trẻ em,36.0,20.0,Pin,N/A,Nhựa Resin,Việt Nam,Hàng ok
ELIO,ESS1101,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,690000,24.0,Unisex,38.0,11.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Sản phẩm dễ thương, đẹp rất thích hợp đeo mọi thời điểm"
SMILE KID,SL414011SK,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,18.0,Trẻ em,38.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,N/A
CASIO,LTP1094Q7B4RDF,VNPAYTGDD4,50000,100000,VNPAY-QR,646000,994000,36.0,Nữ,23.0,7.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Đồng hồ giống với quảng cáo
SMILE KID,SL41604SK,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,18.0,Trẻ em,35.0,12.0,Pin,5.0,Nhựa Resin,Việt Nam,N/A
ELIO,ES00201,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,12.0,Nữ,25.5,8.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,N/A
MVW Sport,MS07301,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,2350000,24.0,Nam,41.0,12.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,Sản phẩm đẹp tốt nhưng mà 2 nút kia không biết chỉnh cái gì thôi
ELIO,ES00801,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1190000,12.0,Nữ,33.0,8.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đẹp sang nhé
CASIO,LTP1129A7ARDF,VNPAYTGDD4,50000,100000,VNPAY-QR,688000,1059000,36.0,Nữ,26.0,7.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,sản phẩm phù hợp với bản thân
SMILE KID,SL13103,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,360000,12.0,Trẻ em,42.0,15.7,Pin,5.0,Nhựa,Việt Nam,"Ở ngoài màu đẹp hơn, màu đèn xinh"
ELIO,ESS1103,VNPAYTGDD4,50000,100000,VNPAY-QR,249000,690000,24.0,Unisex,38.0,11.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sale hơi ít sản phẩm! Mua cho vợ đủ mỗi ngày 1 chiếc rồi!
SMILE KID,SL03701,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,24.0,Trẻ em,27.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sp ok. Be deo dep lắm. Có dịp mua sinh nhật cho các bé trong gđ sẽ ủng hộ.
MVW Galaxy,MSA09101S1,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3490000,N/A,Nam,43.0,16.0,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Bị lỗi sản phẩm
MVW Hồn Việt,MLA08604HV,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3490000,N/A,Nam,43.0,12.4,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Ngoại hình cơ bản ok. Giây da sẫm màu hơn tý thì 10đDùng 1 tgian xem tnao. Tạm thời cho 5
CASIO,DW291HX1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1223000,1631000,120.0,Nam,N/A,13.5,Pin,20.0,Kính khoáng Mineral,Nhật Bản,"Sẽ ok hơn nếu có sách hướng dẫn sử dụng kèm theo. Dù nhân viên đã chỉnh giờ rồi, nhưng những chức năng khác phải mò"
CASIO,LA670WA1DF,VNPAYTGDD4,50000,100000,VNPAY-QR,738000,1136000,24.0,Nữ,24.6,7.3,Pin,3.0,Nhựa,Nhật Bản,Tốt
EYKI,EYC02002,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1190000,24.0,Nữ,33.0,9.2,Pin,3.0,Kính khoáng Mineral,Trung Quốc,N/A
SMILE KID,SL13001,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,260000,12.0,Trẻ em,29.0,9.8,Pin,3.0,Nhựa,Việt Nam,N/A
SMILE KID,SL13204,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,360000,18.0,Trẻ em,47.2,14.0,Pin,3.0,Nhựa,Việt Nam,"Hình thức năng động,trẻ chung"
MVW Glory,ML08002,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2250000,36.0,Nam,43.0,9.2,Pin,5.0,Kính khoáng Mineral,Việt Nam,Muốn mua dây đen thi lm s  xxxx808909
MVW Star Automatic,MLA00401N,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3990000,N/A,Nam,41.0,12.0,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Ôn đinh tôt hang viêt nam nhưng rât hai long
MVW,MS08401,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2250000,18.0,Nam,40.0,8.5,Pin,5.0,Kính khoáng Mineral,Việt Nam,Ngày chạy sai phải chỉnh 1 ngày đến 2 lần
CASIO,MTPV004D1BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,777000,1036000,24.0,Nam,41.5,8.3,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Đồng hồ đeo tốt kháng nước đi mưa rửa tay ok mọi ng tắm thì nhớ phải tháo ra nha
CASIO,LTPVT01GL4BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,833000,1283000,36.0,Nữ,34.0,7.9,Pin,1.0,Kính khoáng Mineral,Nhật Bản,Đẹp chuẩn 1sp
CASIO,LRW200H4B2VDF,VNPAYTGDD4,50000,100000,VNPAY-QR,610000,939000,36.0,Nữ,34.0,11.5,Pin,10.0,Nhựa,Nhật Bản,Xih xỉu
CASIO,LTP1094E7BRDF,VNPAYTGDD4,50000,100000,VNPAY-QR,538000,829000,36.0,Nữ,23.0,7.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Đồng hồ đẹp nhỏ gọn phù hợp với người tay nhỏ hộp cũng đẹp quá sịn sò
ELIO,EL09901,VNPAYTGDD4,50000,100000,VNPAY-QR,320000,990000,24.0,Nam,40.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ vừa mua xong , mở hộp không chạy tôi cần được giải quyết vấn đề này"
ELIO Flower,ES12702,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,29.5,8.1,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đẹp.rất vừa ý
ELIO Nắng Xuân,EL02701,VNPAYTGDD4,50000,100000,VNPAY-QR,210000,890000,36.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ đẹp, Nhân viên giao hàng nhiệt tình. Mà dây đồng hồ mới đeo buổi trưa chưa rửa lần nào, buổi tối đã đứt rồi"
ELIO,EL05902,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,33.0,8.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,Y như hình
ELIO Nàng Thơ,ES05001,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Tốt lắm luon
ELIO,ES08701,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1190000,24.0,Nữ,32.0,8.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,Hợp với tay của tôi
MVW Hồn Việt,ML08602HV,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,2490000,36.0,Nam,43.0,12.0,Pin,5.0,Kính Sapphire,Việt Nam,"Cần hỏi mua dây thay thếNgoài loại dây da như đi kèm, có mẫu dây inox nào lắp vừa không"
SMILE KID,SL05601,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,18.0,Trẻ em,34.0,13.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Đặt đồng này giao đồng hồ khác làm ăn kỳ vậy
CASIO,LTP1170A7ARDF,VNPAYTGDD4,50000,100000,VNPAY-QR,813000,1251000,24.0,Nữ,26.1,9.2,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Nhân viên tư vấn nhiệt tình, sản phẩm chất lượng như máy mới mà giá có bằng 13"
CASIO,LTPV002L7B2UDF,VNPAYTGDD4,50000,100000,VNPAY-QR,538000,829000,36.0,Nữ,25.0,9.5,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Sản phẩn tốt đi mưa rửa tay không bị vào nuớc có điều sau khi đeo 1 thời gian dài dây sẽ bị tróc phần bên dưới.
CASIO,HDA600B1BVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,762000,1017000,120.0,Nam,39.0,11.8,Pin,10.0,Nhựa,Nhật Bản,Ok  okay
SMILE KID,SL41601SK,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,18.0,Trẻ em,35.0,12.0,Pin,5.0,Nhựa Resin,Việt Nam,N/A
CASIO,MTPV004D7B2UDF,VNPAYTGDD4,50000,100000,VNPAY-QR,777000,1036000,36.0,Nam,41.5,8.3,Pin,1.0,Kính khoáng Mineral,Nhật Bản,Ok nv nhiệt tình vui vẻ
